"ReasonForAttending","Socialize","Tailgate","TakeSelfies","PostToSocialMedia","SeeFriends","VisitKidAttractions","MeetMascot","SnacksForKids","KidsRunBases","KidsSlide","GetDinner","EatParkFood","SampleFood","GetDrinks","DrinkBeer","BuyGear","TourThePark","VisitAttractions","WatchPregameShow","SeeTheChicken","UpgradeSeats","GetAutographs","WatchGame","SeePractice","MeetPlayers"
"Celebrate an anniversary",5,1,4,3,1,2,8,1,2,2,0,0,2,4,2,10,9,2,2,7,1,0,1,1,1
"Other Promotion",6,3,1,6,3,1,1,1,1,4,2,3,1,1,0,2,7,0,1,2,2,0,0,1,0
"See my friends",4,6,7,6,1,9,2,2,3,6,4,4,4,4,5,2,0,1,2,3,1,1,2,2,1
"Support the opposing team",4,1,3,1,6,3,2,9,2,2,0,9,4,2,2,2,0,1,2,6,1,2,0,1,0
"Family outing, no children",3,0,2,3,1,2,9,0,4,1,4,2,2,0,4,1,1,2,2,3,1,1,1,2,3
"Visit the park",0,8,4,6,5,3,1,2,3,3,2,4,1,1,8,6,2,4,0,8,1,1,0,0,2
"Company outing",4,2,1,1,3,3,1,9,3,1,4,2,2,4,2,0,0,4,2,4,1,1,1,0,2
"I was given tickets",1,7,4,0,1,2,5,2,2,10,1,1,4,0,4,5,0,3,2,2,1,2,2,2,0
"Special Game",1,4,0,3,3,0,1,2,5,4,2,3,3,2,2,9,7,9,7,2,1,5,1,1,1
"Support the Team",4,10,4,3,2,2,1,3,6,1,2,2,0,4,4,2,10,2,4,6,2,1,0,6,1
"See my friends",3,4,2,5,3,3,1,8,2,3,4,2,3,4,7,1,2,6,8,3,2,0,5,0,2
"Visit the park",2,1,5,2,3,1,8,1,1,2,2,1,0,2,2,9,9,6,5,0,2,1,0,2,0
"Other Promotion",1,2,4,2,3,2,2,10,2,3,3,1,3,2,0,0,1,2,4,2,1,1,1,1,1
"Family outing, no children",2,6,3,4,7,2,1,7,0,3,2,1,9,0,7,6,5,6,6,1,1,5,1,6,2
"Celebrate an anniversary",1,2,0,5,2,3,1,3,1,2,3,2,2,3,2,8,5,9,10,0,1,1,1,1,1
"I was given tickets",2,0,3,0,1,2,1,1,2,9,3,2,6,2,4,10,1,2,5,8,2,0,1,2,1
"Support the Team",3,2,2,2,2,7,0,5,2,0,3,0,5,4,6,1,1,1,2,8,1,1,1,0,1
"No distinct reason",7,8,0,0,0,0,1,9,6,0,4,2,0,2,2,2,1,2,2,7,2,1,2,1,0
"See a concert",2,2,9,3,3,10,8,2,2,1,4,4,0,2,8,2,7,1,0,3,1,2,1,1,1
"Celebrate an anniversary",3,1,0,2,0,9,3,4,1,5,4,3,4,0,5,10,6,1,2,2,1,1,1,2,2
"Support the opposing team",10,3,0,3,2,1,1,1,2,3,3,0,2,0,2,0,10,2,0,2,0,1,2,1,1
"Visit the park",3,1,0,0,0,2,7,3,2,1,0,0,4,4,2,0,0,9,2,6,1,0,2,1,1
"Other Promotion",2,1,1,1,2,1,2,2,1,1,2,10,2,4,5,1,8,0,1,2,0,0,2,1,2
"See my friends",4,1,2,2,5,1,3,4,1,0,1,0,1,4,3,2,2,2,5,0,1,2,2,1,1
"Support the Team",9,1,0,7,2,3,2,8,1,2,5,0,5,1,0,0,2,2,1,9,0,1,2,0,1
"Other Promotion",0,4,9,1,2,1,10,1,2,3,7,0,2,8,2,9,3,0,0,10,1,1,1,0,8
"Family outing, with children",2,6,7,4,6,2,2,1,0,9,1,4,10,2,2,2,1,1,0,1,1,1,5,1,1
"Company outing",2,3,1,1,2,6,9,2,1,5,0,4,4,2,4,2,2,2,0,2,1,2,1,2,0
"Visit the park",2,3,4,2,1,4,2,0,3,2,10,3,0,4,1,2,7,0,9,4,8,1,1,0,1
"Visit the park",5,3,3,3,2,10,2,3,5,0,8,4,2,4,2,2,1,0,0,2,1,1,1,1,1
"See my friends",3,1,2,2,1,6,2,2,1,1,3,0,0,4,4,1,4,6,2,0,1,1,0,1,1
"Family outing, no children",2,4,3,2,1,0,0,9,6,3,3,5,3,5,3,0,7,0,1,2,1,1,0,2,1
"Family outing, with children",1,1,7,0,2,3,1,0,0,2,1,2,4,3,1,8,8,5,8,8,2,1,3,1,2
"See a concert",1,3,3,2,1,3,2,0,3,1,4,3,2,2,6,10,9,8,0,2,1,1,1,2,2
"Family outing, with children",1,1,2,2,3,0,2,3,0,5,2,2,2,4,4,0,1,7,2,2,2,1,2,0,1
"I was given tickets",1,2,1,3,2,5,2,2,2,1,3,4,6,9,2,5,6,3,2,7,1,1,1,1,1
"Family outing, with children",2,2,1,1,4,9,1,1,2,0,0,2,0,2,4,0,1,8,1,1,6,0,1,2,0
"See a concert",1,2,3,4,6,2,2,2,3,3,3,4,2,2,4,10,2,5,3,7,2,1,0,1,1
"Family outing, no children",3,3,0,3,1,1,0,2,7,8,5,4,2,4,4,10,2,1,1,7,3,1,3,2,3
"Company outing",6,1,2,0,1,0,2,2,5,9,1,2,0,2,6,4,10,2,3,1,0,0,2,1,2
"See a concert",1,4,3,3,5,8,2,2,1,2,2,2,0,4,1,0,5,2,1,2,0,1,1,1,2
"Celebrate an anniversary",4,4,0,7,4,3,2,8,7,2,2,0,3,10,4,2,2,10,0,2,2,1,2,1,2
"See my friends",3,1,1,10,0,2,1,7,0,2,2,0,3,5,1,10,3,2,2,8,1,2,1,7,1
"Celebrate an anniversary",2,1,4,2,2,9,6,2,2,2,0,0,3,2,1,2,7,4,3,2,0,9,1,1,1
"Other Promotion",4,2,3,0,0,6,4,1,4,2,0,4,2,2,3,4,0,2,2,2,1,0,2,1,1
"Family outing, with children",2,9,4,4,4,3,5,1,2,3,2,2,8,0,3,2,2,1,1,5,1,2,1,1,1
"No distinct reason",4,3,2,1,1,3,0,2,2,7,2,4,1,1,2,1,8,0,2,3,2,1,2,0,1
"See my friends",1,0,2,1,3,2,1,2,2,6,4,0,2,3,2,1,0,0,2,2,0,1,1,0,2
"See a concert",3,9,3,0,3,1,1,3,3,3,0,4,2,4,5,5,0,10,0,8,1,2,1,0,0
"I was given tickets",2,2,2,1,2,0,2,1,1,2,4,1,3,2,3,2,1,2,2,7,1,1,0,1,1
"Support the Team",2,3,2,3,4,9,3,0,2,8,4,4,7,4,4,1,7,3,4,0,2,1,0,1,1
"Special Game",7,4,4,2,4,9,2,1,4,1,5,2,3,4,2,2,1,9,3,10,2,1,2,0,0
"No distinct reason",3,8,0,3,2,1,2,7,2,6,5,4,2,4,2,1,10,2,2,8,1,2,1,1,2
"Visit the park",3,2,2,2,2,2,0,9,4,0,2,5,4,4,0,2,2,3,2,1,0,3,1,6,5
"Company outing",3,2,2,0,3,2,2,1,3,3,2,4,4,4,4,1,1,9,5,4,0,0,1,1,2
"Special Game",3,2,2,1,9,9,1,1,1,1,6,0,1,4,2,2,0,2,2,5,2,2,2,1,1
"No distinct reason",3,2,4,8,1,1,1,6,2,1,0,2,0,2,3,4,6,7,6,2,2,2,1,2,2
"See my friends",5,4,2,2,1,7,2,9,7,0,4,4,4,1,8,7,0,1,2,5,0,1,0,4,2
"See a concert",2,2,4,0,9,5,1,0,0,5,0,2,4,4,2,2,2,9,0,0,1,2,0,1,6
"Family outing, with children",3,1,2,1,0,2,2,0,3,6,2,5,4,1,3,1,3,5,1,4,2,1,1,1,4
"No distinct reason",1,4,1,0,0,2,2,5,2,3,4,0,2,4,2,6,1,2,4,0,1,2,1,1,2
"Family outing, no children",1,3,2,2,2,5,3,8,0,8,4,2,0,2,4,6,2,2,2,2,6,1,2,1,1
"I was given tickets",0,1,3,2,3,5,1,0,3,1,4,4,5,9,0,2,2,2,4,2,0,0,2,0,0
"Family outing, with children",2,8,2,4,3,5,2,3,1,1,2,0,1,4,4,1,2,2,2,1,2,1,1,0,2
"Special Game",0,9,4,9,0,0,9,2,0,3,1,0,3,4,0,0,3,1,8,2,0,2,1,1,0
"Company outing",0,2,2,2,3,4,2,0,6,3,2,3,0,1,7,5,7,1,0,1,0,1,1,2,6
"Visit the park",3,4,7,8,1,0,0,3,1,2,0,4,2,9,7,10,0,1,2,1,2,1,0,1,0
"I was given tickets",3,6,9,10,5,8,1,10,1,9,0,0,0,3,3,1,2,1,2,3,0,0,1,1,2
"Visit the park",0,4,3,3,2,0,1,3,4,2,2,2,4,4,4,8,2,4,0,2,0,0,2,0,0
"Other Promotion",2,1,4,3,3,2,2,0,2,2,3,2,0,6,4,8,5,9,1,8,2,0,1,2,2
"Support the Team",1,4,0,9,4,1,0,2,1,1,4,2,10,4,2,6,10,6,0,8,0,1,1,1,0
"I was given tickets",1,1,0,3,0,1,1,1,8,2,2,1,1,2,0,8,8,7,8,9,0,1,2,0,0
"See a concert",4,0,2,4,2,0,1,2,1,0,3,6,2,2,0,7,2,2,0,0,2,2,1,0,6
"Celebrate an anniversary",4,1,1,1,4,1,1,9,0,2,4,3,4,0,4,2,0,2,0,5,0,2,2,1,1
"No distinct reason",4,3,5,0,0,2,2,9,0,9,0,2,7,5,3,2,2,10,8,1,1,0,1,7,1
"Support the opposing team",4,4,4,2,4,2,3,2,1,3,2,1,4,7,2,2,0,1,0,2,0,0,0,2,2
"Company outing",0,1,4,1,3,2,1,2,2,2,1,2,2,4,5,6,3,2,1,2,1,0,2,1,1
"Family outing, no children",4,1,4,2,4,1,6,4,6,3,2,4,4,4,4,0,0,5,2,1,2,0,0,0,2
"See a concert",5,3,2,0,4,3,2,1,3,2,5,2,1,3,4,4,9,1,0,7,1,0,2,0,1
"I was given tickets",2,3,4,0,2,2,2,10,8,2,2,4,6,4,1,10,3,8,1,4,2,1,2,1,1
"Support the Team",1,3,6,2,1,3,4,9,5,3,0,2,1,5,0,1,1,0,1,1,0,0,2,0,0
"See my friends",2,2,7,0,1,10,1,5,8,3,8,0,2,5,2,2,1,0,4,8,9,1,1,1,0
"Celebrate an anniversary",1,1,4,3,3,0,2,1,2,1,5,0,6,4,5,0,1,4,1,1,1,1,1,2,1
"Support the opposing team",4,2,1,1,2,7,7,1,1,0,3,1,1,4,1,0,1,2,2,10,0,2,1,1,1
"See a concert",8,0,0,1,3,0,3,2,1,2,2,4,2,4,4,7,2,6,2,2,1,0,3,2,10
"Support the Team",8,2,4,1,2,1,2,2,2,3,3,4,3,4,3,2,10,10,6,4,6,0,2,0,2
"Special Game",8,3,1,5,2,2,3,3,2,1,5,2,5,5,4,2,1,6,2,0,10,1,2,2,1
"Company outing",2,0,1,0,3,2,1,2,7,2,8,2,6,2,4,2,3,3,6,1,1,0,0,2,1
"Celebrate an anniversary",0,3,1,3,1,2,1,1,8,1,2,1,3,5,4,3,8,8,2,7,0,2,1,1,2
"No distinct reason",0,2,0,2,1,10,1,0,2,0,4,5,7,4,2,2,2,2,2,2,1,2,1,2,1
"Support the opposing team",2,5,1,2,2,2,1,2,3,8,3,5,4,8,0,2,2,0,0,0,3,1,5,1,0
"I was given tickets",2,1,1,1,3,2,1,5,0,7,4,1,2,1,2,8,0,1,1,1,1,2,2,0,4
"Special Game",1,1,2,2,1,0,2,1,1,2,4,5,2,2,4,1,2,1,1,1,0,1,7,2,6
"See my friends",2,3,1,7,2,0,1,1,0,2,2,3,1,4,4,2,9,3,2,2,0,1,2,0,1
"Visit the park",1,1,2,2,2,3,2,2,2,9,2,2,2,2,1,1,2,2,3,6,0,1,1,1,8
"See a concert",1,1,1,1,0,1,4,2,3,1,0,2,3,7,4,10,2,1,3,7,0,1,2,1,0
"Company outing",3,1,4,1,3,10,1,7,1,2,2,0,2,5,6,6,2,1,2,6,2,1,1,1,6
"Other Promotion",9,3,1,4,3,6,6,2,1,2,4,4,3,8,2,0,7,2,8,2,2,1,0,1,1
"Family outing, with children",4,2,1,2,3,2,10,0,1,3,2,3,2,4,0,3,4,4,7,8,2,0,1,1,1
"Family outing, no children",2,4,4,3,9,6,1,2,9,2,2,2,4,7,0,0,8,2,0,4,1,2,6,1,0
"See a concert",8,0,4,9,3,1,1,3,3,2,6,4,1,2,1,6,1,4,8,3,0,1,1,1,0
"Celebrate an anniversary",2,0,2,1,6,2,3,2,7,0,5,1,0,0,5,0,2,7,2,4,1,1,1,2,2
"See a concert",1,3,9,8,4,2,7,2,0,0,3,0,1,1,2,2,0,2,8,2,0,8,1,0,1
"See a concert",2,3,1,2,0,2,3,1,1,1,10,5,9,4,2,6,0,2,4,2,0,3,2,1,0
"Family outing, no children",3,0,1,0,1,3,10,0,3,3,6,4,5,1,4,2,1,1,1,2,2,0,1,1,1
"See my friends",8,1,2,1,3,5,0,1,2,2,0,4,2,2,4,2,2,8,3,9,1,1,1,1,1
"Support the opposing team",2,0,3,0,2,2,1,9,0,3,2,1,4,2,0,2,9,6,6,8,1,1,1,2,0
"Visit the park",3,3,1,4,4,1,1,9,1,2,4,2,2,3,4,8,1,2,2,2,2,1,4,2,0
"Company outing",1,0,2,1,2,2,2,1,1,0,1,3,4,2,3,2,1,2,6,1,2,0,0,1,0
"Other Promotion",3,2,2,3,2,6,4,1,3,2,0,4,4,0,0,0,2,1,3,1,0,2,1,0,1
"Celebrate an anniversary",0,3,3,3,4,7,2,2,1,1,2,5,10,4,2,8,7,2,1,1,0,1,1,1,9
"Celebrate an anniversary",2,3,1,2,2,3,5,8,2,0,5,4,4,1,4,2,2,2,7,6,2,1,1,1,5
"Company outing",3,3,3,9,2,2,1,0,0,4,2,2,5,1,3,2,9,2,5,1,2,8,2,1,0
"Celebrate a birthday",3,3,1,2,0,2,1,3,4,8,0,1,4,4,4,1,2,2,5,2,1,1,2,0,1
"Family outing, no children",0,5,0,1,2,0,1,1,1,5,1,0,3,4,0,8,1,2,1,1,1,0,2,2,2
"Family outing, no children",2,2,0,1,3,2,2,9,1,2,2,2,2,4,1,8,1,1,7,2,2,2,1,1,1
"Celebrate a birthday",1,4,2,2,2,1,1,2,8,0,0,1,4,2,0,2,5,0,10,0,2,1,1,1,1
"See my friends",4,1,2,2,2,2,3,1,2,10,2,2,4,2,2,1,1,1,1,5,2,2,1,1,2
"Visit the park",4,2,3,3,3,2,2,1,0,3,8,2,1,1,9,2,1,1,1,3,1,1,0,1,2
"Family outing, no children",2,0,6,3,3,2,1,3,0,3,8,2,7,1,2,2,10,0,3,10,1,6,0,1,0
"See my friends",0,1,10,2,0,8,2,1,1,7,0,4,2,2,3,2,4,4,0,7,0,1,1,2,2
"I was given tickets",2,2,0,4,4,3,1,5,0,2,2,0,1,3,1,7,1,1,1,8,2,1,0,1,1
"Celebrate an anniversary",4,2,2,5,4,3,0,3,2,1,4,3,2,4,2,1,8,2,2,1,2,2,1,0,7
"Company outing",2,3,5,4,6,6,0,0,2,1,7,2,0,1,7,8,5,2,2,2,6,2,1,1,2
"Family outing, no children",6,2,2,4,1,4,2,1,6,2,2,5,0,3,5,5,1,1,2,7,2,1,1,1,2
"Special Game",1,0,3,2,4,2,1,8,6,1,1,2,2,5,2,4,5,1,5,0,1,1,2,1,1
"Family outing, no children",4,3,4,2,1,2,2,2,0,3,1,3,3,0,0,9,0,0,5,0,2,1,2,1,1
"See my friends",2,1,0,6,3,7,1,0,1,1,0,5,8,4,5,0,2,1,7,8,2,1,1,0,2
"See my friends",2,1,1,2,1,2,0,2,1,1,2,2,2,2,0,2,4,2,6,5,1,2,1,2,1
"Support the Team",0,4,3,0,2,1,0,9,1,3,4,8,2,4,2,1,5,9,1,0,1,0,2,2,0
"Family outing, with children",8,1,2,7,2,0,0,1,3,2,0,0,3,2,9,6,1,5,0,2,1,2,1,1,2
"Support the opposing team",0,0,9,3,4,2,0,2,3,2,5,8,2,3,4,5,2,1,2,3,1,1,1,4,2
"I was given tickets",2,2,4,2,2,7,1,9,3,3,1,4,0,1,10,1,3,1,1,4,1,2,1,0,0
"Support the Team",3,4,2,1,4,2,2,5,0,8,4,0,2,9,3,1,7,0,0,4,0,1,2,0,1
"I was given tickets",4,2,3,3,0,3,3,2,2,2,4,4,2,2,1,2,9,0,7,7,0,1,1,1,1
"Family outing, with children",3,1,8,0,1,3,9,2,3,1,0,2,2,2,0,8,1,1,1,1,1,0,1,2,0
"Support the Team",4,0,4,0,9,0,1,8,2,0,6,4,1,3,0,8,8,5,3,1,0,1,1,1,0
"Celebrate an anniversary",2,2,4,5,2,2,5,1,1,1,2,1,4,4,2,1,0,2,7,2,1,1,1,2,1
"Celebrate an anniversary",5,1,3,4,1,7,3,10,1,0,0,2,5,2,5,9,1,2,1,8,2,2,0,1,2
"Visit the park",6,8,2,2,2,7,9,3,0,3,8,4,6,0,1,9,0,3,2,5,1,6,0,2,2
"Family outing, with children",3,1,8,1,2,1,3,2,3,1,4,4,7,1,4,2,2,1,0,0,1,1,1,1,2
"Family outing, with children",4,3,1,2,5,2,0,8,0,5,5,3,2,0,1,9,7,0,2,0,1,0,1,7,2
"I was given tickets",3,4,2,1,2,0,2,7,7,5,2,10,5,3,0,2,2,6,2,2,1,2,2,9,2
"See my friends",4,1,3,4,9,0,3,2,5,7,2,0,2,9,0,1,1,1,1,2,0,1,1,0,2
"Support the Team",3,3,2,2,2,1,2,2,0,2,2,2,10,1,0,1,0,1,7,5,0,1,1,1,1
"Support the Team",0,3,1,4,2,0,2,1,3,3,4,7,1,8,2,0,1,2,6,3,2,1,0,1,2
"Other Promotion",2,3,4,3,2,2,3,1,7,4,2,2,3,3,4,2,1,1,0,0,1,2,2,1,1
"Family outing, with children",3,2,5,3,2,2,3,2,2,2,0,7,1,0,0,1,2,3,0,2,1,0,2,1,0
"See a concert",0,0,3,2,6,3,7,0,2,10,2,4,1,2,0,8,0,9,1,2,2,1,2,1,2
"Celebrate an anniversary",4,0,2,10,3,5,2,5,8,2,0,4,4,3,4,0,1,1,2,2,1,8,1,1,0
"Other Promotion",2,2,2,1,0,1,3,7,2,2,0,4,9,2,2,2,1,0,9,2,2,1,1,1,1
"Other Promotion",4,2,8,2,4,2,2,0,2,1,4,2,2,0,0,6,0,2,6,0,0,1,1,1,1
"Other Promotion",3,1,2,2,3,3,9,4,0,5,0,5,2,2,10,2,2,1,0,1,1,2,1,1,1
"Family outing, no children",1,6,4,2,2,3,2,3,2,2,3,3,6,4,2,7,3,0,1,1,9,2,1,1,2
"Family outing, with children",0,0,4,3,3,2,3,1,7,1,2,1,2,3,3,5,2,1,2,2,1,1,1,9,0
"Support the opposing team",0,0,3,10,1,1,1,0,1,2,7,1,2,3,3,0,0,2,9,2,0,2,1,8,8
"Celebrate a birthday",2,1,6,2,0,2,0,7,5,1,1,0,4,4,1,8,0,2,1,2,1,2,0,0,8
"I was given tickets",3,3,1,2,0,2,5,0,6,9,2,4,4,3,1,7,7,1,2,5,2,2,0,2,0
"Family outing, no children",0,2,1,5,3,3,1,1,3,9,1,8,0,4,5,2,2,3,10,8,0,2,2,7,0
"See my friends",1,3,3,1,10,5,8,3,5,9,3,2,4,5,4,0,8,3,2,3,0,1,2,1,1
"Company outing",0,2,0,4,1,2,3,2,3,1,4,2,4,5,4,2,6,10,3,4,1,1,2,2,0
"See a concert",5,2,1,0,2,5,1,3,2,4,4,6,5,2,9,0,6,1,6,8,1,0,1,0,1
"Family outing, no children",4,1,2,1,0,2,8,0,3,2,2,1,2,0,4,1,3,1,4,2,4,1,2,2,1
"See a concert",4,1,9,2,2,3,5,1,10,6,2,2,7,0,1,7,5,7,6,1,2,1,0,0,1
"Support the Team",2,1,1,3,2,8,1,6,5,2,4,1,1,4,2,2,0,9,2,5,1,0,2,2,2
"Family outing, with children",4,7,0,2,3,0,1,2,8,1,2,1,4,4,7,2,1,9,9,2,1,2,0,1,1
"I was given tickets",4,1,2,2,3,3,2,2,9,0,4,4,5,5,4,9,4,7,0,1,0,1,1,1,2
"Support the Team",2,1,4,0,4,1,3,2,0,2,4,8,5,5,2,6,0,4,1,6,0,1,0,2,1
"Celebrate an anniversary",2,0,4,7,1,0,2,1,1,9,2,4,1,7,1,3,1,1,1,5,1,0,1,1,0
"See a concert",3,2,0,0,2,4,3,1,3,1,0,2,3,2,3,1,0,1,6,1,2,2,0,1,0
"Company outing",3,1,2,5,2,0,3,2,1,7,4,1,2,2,4,6,8,2,2,2,1,2,1,2,0
"Celebrate a birthday",4,2,2,3,2,0,2,0,3,1,2,0,2,4,0,0,0,1,3,2,2,2,7,2,2
"Family outing, with children",1,2,1,8,1,3,1,4,1,2,1,0,4,8,4,1,2,2,2,2,2,0,1,0,1
"Support the opposing team",2,3,1,2,2,8,3,3,2,2,2,4,4,4,0,0,3,0,7,6,1,1,0,2,2
"See a concert",3,9,8,1,1,8,6,1,0,2,4,2,4,1,9,9,1,4,8,8,2,1,2,1,0
"Family outing, no children",1,10,4,10,2,8,3,2,7,2,4,2,2,4,3,3,1,1,2,1,10,0,0,1,5
"Support the Team",0,0,4,2,10,10,1,1,1,5,2,8,3,3,3,2,2,0,1,4,0,1,2,1,2
"Support the Team",4,1,2,4,6,0,9,2,2,5,9,2,2,1,4,4,2,0,1,9,2,0,2,0,1
"Special Game",1,4,1,3,4,2,1,2,7,1,3,2,0,4,0,4,0,0,9,10,2,1,1,1,9
"Support the opposing team",1,2,2,2,3,1,2,3,10,2,2,3,3,4,4,2,4,3,2,3,0,2,2,1,2
"Support the Team",0,2,2,2,2,0,2,1,9,6,8,2,2,4,1,9,2,2,1,6,0,1,0,5,7
"Visit the park",2,7,1,0,3,3,6,2,6,4,4,2,4,3,5,5,5,1,2,2,0,0,2,0,2
"Support the Team",2,4,2,2,2,1,3,4,2,3,2,4,2,2,4,2,0,8,5,7,1,1,0,0,2
"Family outing, no children",4,1,1,0,4,0,2,1,3,2,2,4,6,2,4,1,5,3,0,8,0,2,1,1,0
"See a concert",3,2,2,4,3,1,3,5,1,3,4,2,5,1,3,8,2,6,7,1,0,1,2,1,1
"See my friends",2,1,7,2,3,2,7,0,2,3,2,2,4,2,1,2,2,1,1,1,5,1,0,0,1
"Family outing, with children",5,1,0,2,4,1,8,1,2,3,0,1,4,10,2,1,0,0,1,7,1,0,2,2,0
"Celebrate an anniversary",1,0,3,1,4,1,1,1,9,1,4,6,0,4,4,2,2,2,0,5,1,1,1,1,1
"Celebrate a birthday",4,3,0,3,3,2,2,2,2,5,4,4,2,0,4,4,0,2,8,2,2,1,0,2,1
"Other Promotion",2,4,0,9,0,2,3,1,2,1,5,4,5,10,1,2,9,8,1,3,1,1,1,1,2
"Family outing, with children",0,3,0,2,2,6,3,5,4,3,4,0,4,3,3,4,6,1,9,3,0,0,2,1,2
"See my friends",6,2,10,4,4,5,1,3,3,5,4,3,6,3,2,3,6,3,2,1,2,4,1,2,0
"No distinct reason",2,3,3,4,1,3,3,3,2,3,0,5,4,5,1,6,1,2,0,9,0,2,0,0,2
"No distinct reason",2,4,0,1,1,7,2,1,2,0,5,2,2,0,9,6,1,1,0,3,2,2,1,0,1
"Special Game",2,5,2,2,0,2,2,7,3,2,0,1,2,5,2,2,1,8,2,1,1,1,1,1,1
"See my friends",1,4,7,4,2,2,2,1,1,3,0,3,3,4,4,3,0,0,8,9,2,1,2,1,8
"Celebrate a birthday",3,1,1,2,1,2,0,1,8,2,2,0,0,4,1,10,2,2,3,1,1,2,0,1,2
"Company outing",3,3,0,2,3,2,3,2,2,0,4,4,4,2,2,6,5,1,9,0,1,1,0,1,0
"Company outing",3,7,1,0,3,1,2,7,2,3,1,10,0,4,4,0,0,2,1,3,0,1,1,1,2
"See a concert",0,1,3,0,2,2,2,2,5,2,2,2,0,6,4,0,0,0,1,2,2,1,2,0,2
"Special Game",1,2,0,2,2,1,5,10,8,9,4,2,0,4,2,1,0,5,1,2,1,0,0,1,2
"Family outing, with children",1,2,4,2,2,3,6,2,2,3,3,0,6,2,2,0,7,2,2,1,0,1,0,7,1
"Celebrate a birthday",3,2,2,2,5,7,1,7,2,3,0,6,3,4,0,10,10,2,0,3,4,1,1,1,0
"Company outing",3,0,1,4,2,8,5,3,2,9,3,1,5,0,2,8,9,2,4,3,2,1,2,1,1
"See a concert",5,4,1,0,3,4,8,2,3,6,2,9,6,5,3,1,6,2,1,2,1,2,2,0,0
"Celebrate a birthday",3,9,3,2,1,0,5,2,2,3,3,0,4,0,0,2,1,6,0,0,1,0,1,1,1
"See my friends",1,3,2,2,0,1,2,2,3,0,0,5,4,2,0,1,5,2,7,2,1,1,4,1,1
"Other Promotion",2,9,2,0,4,1,2,5,1,1,0,0,1,4,2,7,6,3,8,6,2,2,0,0,1
"Other Promotion",2,2,0,2,2,1,5,10,1,2,4,4,0,1,2,2,4,2,3,0,1,0,1,1,1
"Celebrate a birthday",2,4,1,2,4,0,6,2,0,0,3,7,4,4,9,1,5,7,6,0,1,0,1,2,2
"No distinct reason",1,1,1,2,1,2,2,3,2,3,4,2,5,4,0,4,1,9,2,2,0,1,1,0,0
"Family outing, with children",3,9,1,3,0,4,2,10,0,2,4,4,4,0,8,1,3,1,6,7,1,7,2,1,2
"Family outing, no children",1,1,4,4,1,1,2,2,1,1,2,3,4,8,2,7,2,8,1,8,2,1,2,0,1
"Support the opposing team",0,8,3,1,3,3,4,1,3,8,2,4,2,8,4,8,2,4,2,1,0,1,1,1,0
"See a concert",0,3,1,2,3,3,1,9,7,2,4,5,2,2,1,1,0,2,6,0,0,0,1,8,1
"Celebrate an anniversary",10,2,0,2,1,1,0,1,0,6,3,3,5,4,4,9,1,2,3,0,0,0,1,1,0
"Support the opposing team",1,1,2,1,2,2,4,0,1,7,5,2,4,0,2,4,2,1,9,1,2,1,1,1,2
"Company outing",2,3,1,1,4,2,3,2,1,3,4,5,3,9,3,2,6,1,6,1,1,1,2,1,0
"Support the Team",0,1,3,2,0,2,9,8,1,2,0,1,4,2,0,9,7,1,1,10,2,2,2,1,2
"See my friends",3,2,3,2,4,6,7,10,0,1,1,1,2,3,4,2,1,1,2,1,1,1,1,1,0
"Celebrate an anniversary",4,2,3,8,2,4,5,2,6,3,4,3,4,2,3,2,3,2,0,10,1,2,1,1,4
"Family outing, no children",0,6,1,2,3,6,2,1,2,3,3,4,4,4,2,0,1,2,3,9,1,0,2,0,1
"Celebrate a birthday",1,0,1,2,0,9,2,1,0,2,1,4,4,2,4,2,2,1,2,1,2,1,1,0,1
"Celebrate an anniversary",2,1,0,2,2,2,3,9,3,2,2,0,5,3,2,2,2,2,0,9,1,1,0,1,0
"Celebrate an anniversary",2,4,4,4,8,1,1,2,1,4,0,2,4,4,2,0,2,2,2,1,2,0,0,2,1
"Family outing, no children",2,1,3,2,1,9,6,3,0,8,4,2,4,2,2,1,4,8,0,1,1,6,1,2,1
"I was given tickets",2,1,4,0,3,2,8,2,0,2,4,3,2,0,2,1,6,2,2,2,2,1,1,1,0
"Other Promotion",4,0,4,4,3,5,8,2,2,1,7,4,1,0,3,1,2,0,3,6,1,1,0,1,0
"Family outing, no children",4,8,1,5,4,1,1,7,2,2,2,2,3,1,1,6,1,4,3,3,1,2,1,0,2
"Special Game",3,1,2,3,1,6,9,0,1,0,2,4,2,2,4,2,2,0,2,2,1,0,0,0,2
"Support the opposing team",2,1,1,2,1,1,3,6,1,7,2,0,0,1,1,2,0,3,1,1,1,1,1,2,0
"Special Game",8,2,2,4,4,0,6,3,2,9,3,1,4,4,1,4,9,8,2,5,0,1,2,1,1
"Other Promotion",0,2,0,2,3,3,1,1,2,2,2,9,2,2,2,7,0,2,8,2,2,2,0,2,2
"Celebrate an anniversary",2,2,2,2,3,2,1,1,2,1,4,4,0,4,1,2,1,5,7,8,1,1,2,2,0
"Family outing, no children",4,4,2,3,6,4,3,9,2,1,2,2,3,1,4,9,2,2,2,4,0,1,2,1,1
"Company outing",10,1,3,9,3,1,0,3,2,2,4,2,2,4,1,6,7,2,0,0,1,0,2,1,1
"Other Promotion",0,3,6,0,3,2,10,2,2,1,3,3,2,4,1,2,9,2,1,4,2,0,0,0,1
"Family outing, with children",1,7,4,2,3,2,1,4,2,1,4,3,1,5,5,1,1,1,0,0,1,0,2,9,1
